Date,Nouns
2011.01.04,"['충북', '구제역', '발생', '농장', '확진', '판정', '돼지', '대량', '출하', '지역', '구제역', '가능성', '조사', '구제역', '판정', '돼지', '농가', '도축장', '출하', '도축장', '구제역', '돼지', '출하', '돼지', '구제역', '감염', '도축', '구제역', '전파', '가능성', '농가', '방역', '돼지', '농가', '구제역', '의심', '신고', '농장', '돼지', '신고', '검역', '판정', '방역', '도축장', '돼지', '조사', '도축', '고기', '폐기', '계획', '관계자', '조사', '도축장', '소독', '구제역', '감염', '돼지고기', '유통', '문제', '관계자', '구제역', '전파', '가능성', '농장', '상황', '농장', '돼지', '구제역', '증상', '발견', '농장', '사료', '구제역', '전파', '조사', '농장', '돼지', '매몰', '작업']"
2011.01.06,"['독일', '생산', '계란', '돼지고기', '보도', '정부', '품목', '수입', '검역', '중단', '농식품부', '수입', '독일', '산', '축산물', '오염', '확인', '예방', '수입', '검역', '중단', '조치', '현재', '계획', '지난해', '우리나라', '독일', '돼지고기', '수입']"
2011.01.06,"['구제역', '전국', '발생', '지역', '지역', '경남', '정도', '사실', '통제', '구제역', '방역', '현장', '전국', '구제역', '가축', '매몰', '방역', '축사', '가축', '매몰', '가축', '축사', '소', '방역', '사람', '가축', '매몰', '준비', '경기도', '매몰', '작업', '진행', '구제역', '판정', '충북', '돼지', '농가', '매몰', '매장', '돼지', '주요', '제한', '정부', '대책', '구제역', '백신', '접종', '시작', '시작', '백신', '접종', '효과', '접종', '지역', '지역', '지역', '크게', '신고', '방역', '발견', '구제역', '발생', '지역', '방역', '물', '소독', '효과', '소독', '방역', '직원', '녹취', '방역', '직원', '물', '부족', '가축', '매몰', '작업', '구제역', '의심', '증상', '매몰', '매몰', '농가', '녹취', '축산', '농민', '정부', '백신', '접종', '현재', '상황', '소', '돼지', '오염', '문제', '최대', '규모', '매몰', '문제', '돼지', '매몰', '처리', '강원도', '가축', '구제역', '발생', '가축', '규정', '처리', '경기도', '파주', '돼지', '매몰', '농가', '생활', '물', '가축', '매몰', '현장', '가축', '규정', '가축', '위험', '방역', '녹취', '방역', '상태', '구제역', '발생', '경기도', '연천', '매몰', '정도', '오염', '육류', '소고기', '돼지고기', '값', '구제역', '사람', '축산물', '가격', '변동', '안정', '유지', '매몰', '가축', '구제역', '소비', '위축', '축산물', '가격', '최대', '전망']"
2011.01.07,"['명절', '물가', '폭등', '정부', '대책', '준비', '농수산', '공급', '공급', '방침', '보도', '물가', '주요', '농', '수산물', '물가', '크게', '정부', '대책', '발표', '계획', '정부', '농수산', '공급', '정도', '방침', '배추', '농협', '닭고기', '달걀', '지역', '출하', '품목', '물가', '조사', '실시', '급등', '물량', '공급', '방침', '점검', '품목', '쌀', '배추', '양파', '쇠고기', '돼지고기', '조기', '농', '수산물', '수요', '지원', '최대', '지원', '예정', '관세청', '농림수산식품부', '원산지', '집중', '단속', '대형', '유통업체', '거래', '특별', '점검', '계획', '뉴스']"
2011.01.10,"['치킨', '갈비', '대형', '마트', '한우', '돼지고기', '값', '구제역', '행사', '불만', '대형', '마트', '시중', '최고', '가격', '한우', '돼지고기', '사람', '녹취', '소비자', '고기', '불만', '녹취', '등심', '안심', '소비자', '물량', '준비', '손님', '구제역', '확산', '갈비', '행사', '시기', '물량', '마트', '준비', '소비자', '소비자', '소비자', '사람', '약', '대형', '마트', '가격', '할인', '정육점', '녹취', '정육점', '상인', '구제역', '타격', '불', '논란', '관심', '대형', '마트', '소비자', '업계', '뉴스']"
2011.01.10,"['구제역', '사실', '경기도', '전역', '조류인플루엔자', '발병', '축산물', '농협', '축산물', '유통', '현재', '닭', '가격', '전북', '발병', '닭고기', '매출', '대비', '약', '대비', '약', '닭고기', '육류', '가격', '수요', '가격', '유통', '축산', '관계자', '물량', '공급', '차질', '닭고기', '가격', '구제역', '여파', '한우', '돼지고기', '가격', '오른', '고려', '닭고기', '가격', '유통', '매출', '가격', '물량', '부족', '약', '현재', '유통', '닭', '가격', '가격', '대형', '닭고기', '가격', '유지', '사태', '닭', '가격', '매출', '관계자', '매장', '닭고기', '가격', '매출', '영향', '구제역', '여파', '돼지고기', '물량', '크게', '닭고기', '우려']"
2011.01.10,"['중국', '돼지고기', '양고기', '대량', '유통', '중국', '보도', '중국', '육류', '도매시장', '판매', '양고기', '돼지고기', '양고기', '보도', '양고기', '중국', '전문점', '대량', '공급', '식탁', '대량', '유통']"
2011.01.10,"['국내', '확산', '구제역', '조류인플루엔자', '여파', '국내', '산', '육류', '반입', '중단', '확인', '검역', '소', '지난해', '닭고기', '반입', '중단', '돼지고기', '쇠고기', '반입', '금지', '반입', '육류', '정부', '현재', '반입', '방안', '협의', '지난해', '국내', '구제역', '발생', '돼지고기', '쇠고기', '반입', '중단', '조치']"
2011.01.10,"['구제역', '전국', '확산', '갈비', '판매', '행사', '롯데', '마트', '한우', '할인', '판매', '행사', '롯데', '마트', '전국', '한우', '부위', '할인', '판매', '국내', '산', '돼지고기', '할인', '롯데', '마트', '관계자', '구제역', '발생', '한우', '행사', '진행', '갈비', '판매', '확산', '한우', '행사', '예정', '시작', '기간', '진행', '롯데', '마트', '갈비', '판매', '한우', '할인', '행사', '상품']"
2011.01.11,"['구제역', '확산', '수입', '쇠고기', '할인', '판매', '논란', '빚', '대형', '마트', '한우', '돼지고기', '행사', '소비자', '행사', '물량', '소비자', '대형', '마트', '시중', '최고', '가격', '한우', '돼지고기', '사람', '녹취', '소비자', '고기', '불만', '녹취', '등심', '안심', '소비자', '물량', '준비', '손님', '마트', '구제역', '확산', '수입', '쇠고기', '행사', '시기', '물량', '준비', '소비자', '소비자', '사람', '약', '대형', '마트', '가격', '할인', '정육점', '녹취', '정육점', '상인', '구제역', '타격', '불', '논란', '관심', '대형', '마트', '소비자', '업계', '뉴스']"
2011.01.11,"['독일', '농장', '돼지고기', '허용', '발견', '농장', '돼지', '계획', '독일', '농업', '발생', '주의', '농업', '가축', '사료', '농장', '검사', '육류', '수치', '확인', '농장', '가축', '처리', '독일', '동물', '사료', '사료', '생산', '업체', '최대', '공급']"
2011.01.11,"['물가', '보도', '차례상', '걱정', '유해', '서울', '예상', '도매', '가격', '배추', '대형', '마트', '용품', '조기', '고기', '지난해', '값', '품목', '가격', '급등', '농산물', '가격', '피해', '지난', '피해', '구제역', '영향', '돼지고기', '값', '국제', '값', '국내', '생산자', '물가', '생산자', '물가', '최고', '생산자', '물가', '소비자', '물가', '소비자', '물가', '뉴스']"
2011.01.12,"['중국', '논란', '빚', '독일', '산', '달걀', '돼지고기', '수입', '중단', '중국', '품질', '검사', '국가', '품질', '감독', '검사', '검역', '독일', '산', '달걀', '돼지고기', '수입', '중단', '검역', '물량', '검사', '시행', '독일', '정부', '사료', '유통', '닭', '달걀', '돼지', '오염', '확인', '닭', '돼지', '매몰', '처분']"
