Noun,Freq
양돈,31738
것,29718
돼지,25520
돈,23046
재,17415
및,15621
타임스,15268
이,14351
등,13306
수,12339
농가,12052
증가,11808
돼지고기,11258
가격,10271
농장,9816
금지,9074
두,8705
기사,8629
최근,8448
보기,8442
배포,8396
무단,8370
저작권,8343
사료,8315
수입,8214
값,8176
생산,7834
출하,7313
발생,7167
대비,6905
감소,6634
소비,6450
지난해,6254
관리,6136
올해,5811
로,5489
위해,5424
경우,5365
모돈,5342
두수,5308
하락,5263
위,5253
국내,5143
시장,5131
년,5116
지난,5059
대한,5031
통해,4815
산업,4787
때문,4734
평균,4716
육,4657
형성,4635
그,4582
돈육,4470
구제역,4467
이후,4391
수출,4322
기준,4301
전망,4284
질병,4173
이상,4100
또한,4088
미국,3924
중국,3698
정부,3663
가장,3618
세,3610
더,3543
방역,3542
상승,3541
분석,3449
지속,3390
기록,3304
중,3254
백신,3243
지역,3241
협회,3220
고,3218
때,3191
산,3121
현재,3110
크게,3067
소비자,3046
사업,3030
결과,2950
영향,2912
축산,2894
가운데,2889
또,2869
축산물,2816
의,2797
수준,2784
를,2759
종돈,2695
삼겹살,2634
예상,2632
대해,2622
문제,2612
당,2578
자돈,2572
량,2560
가량,2546
상황,2545
전주,2545
물량,2539
비,2519
각각,2511
안정,2482
역시,2475
이유,2463
내,2457
말,2442
율,2440
유지,2390
수입량,2372
피해,2344
시설,2326
품질,2321
시,2317
지원,2307
전국,2305
주,2299
공급,2280
실시,2270
이번,2242
점,2231
가축,2207
수요,2190
후,2184
개선,2164
환경,2164
관련,2151
유통,2122
농협,2119
개,2118
등급,2103
사용,2074
접종,2044
판매,2031
도매시장,2020
작년,2000
확대,1962
탕박,1953
계획,1937
진행,1924
규모,1913
사육,1910
부위,1903
전체,1901
부분,1887
제,1875
농,1853
줄,1850
시작,1846
폭,1824
비육,1808
업계,1782
효과,1769
열병,1769
원인,1745
대상,1740
한국,1738
바이러스,1731
세계,1728
추진,1712
향상,1706
향후,1705
관세,1700
며,1699
비교,1697
전,1692
성적,1687
내년,1685
가공,1682
업체,1681
전달,1673
최고,1672
달,1666
대표,1655
은,1653
노력,1643
총,1640
조사,1617
강조,1610
대책,1598
정책,1595
우려,1585
육류,1583
국가,1581
기간,1580
늘,1563
마리,1547
률,1543
지방,1518
변화,1512
박피,1507
돈사,1505
경쟁력,1505
분뇨,1503
강화,1483
업,1460
살,1457
조합,1454
감염,1438
우리,1435
브랜드,1435
동월,1434
톤,1426
방법,1418
소독,1398
도축,1395
경영,1394
생산량,1393
한편,1374
지적,1371
다시,1353
더욱,1343
선진,1340
현장,1337
생산비,1331
강세,1327
확인,1327
검사,1319
운영,1318
제품,1316
시기,1315
출하물량,1305
별,1300
주장,1294
수익,1294
축,1284
개량,1280
차단,1279
반면,1277
성장,1277
제외,1276
시스템,1266
주요,1265
다른,1263
처분,1242
개발,1236
단계,1235
후보,1232
적용,1230
발표,1229
안,1223
온도,1221
제한,1220
보합,1216
정도,1215
모두,1211
확산,1207
날,1200
번식,1195
멧돼지,1188
최대,1184
일본,1172
가능성,1161
예방,1157
일,1157
무엇,1155
방안,1155
후지,1155
지금,1154
행사,1144
제주,1135
거래,1134
못,1129
도,1126
하나,1126
마련,1122
이처럼,1114
요인,1110
처리,1104
적극,1102
급여,1102
폐,1098
전지,1095
설명,1088
스트레스,1087
년전,1084
차,1083
비중,1079
지난달,1078
상태,1076
갈비,1076
시세,1070
추가,1070
요구,1067
견줘,1064
아프리카,1063
액,1049
따라서,1048
약,1045
인증,1044
기술,1041
약세,1040
앞,1040
이동,1038
조금,1036
도입,1036
별로,1033
하반기,1032
체중,1031
차이,1030
개월,1020
항체,1019
경제,1018
프로그램,1017
급증,1009
전문가,1007
입,1007
섭취,1004
임정은,1001
설치,999
속,998
면역,984
냉동,984
저하,977
포크,977
도드람,976
통한,975
수가,974
홍보,971
이용,961
마릿수,960
가지,957
목표,956
경기,948
최소,939
곳,933
볼,931
기존,930
재고,929
시행,929
조치,925
사람,922
배,920
건,917
위원회,917
만큼,915
이하,913
수급,910
러시아,909
식품,909
예측,903
목,900
대부분,899
상승세,898
계속,896
이전,895
판정,894
활용,888
부산물,887
농업,885
모든,881
연구,879
물,879
코로나,876
차지,875
쇠고기,875
포유,872
발전,869
냉장,868
위생,867
상반기,864
유럽,863
활동,863
냄새,862
관계자,856
보이,855
점검,850
평가,848
흐름,847
생각,844
농림축산식품부,842
동물,840
무,835
참여,830
사상,828
기대,824
급,824
회,818
사실,817
포함,814
결정,813
교육,812
우리나라,810
기업,809
추석,808
과정,804
전환,798
구매,794
처음,793
과,792
위축,791
듯,787
연속,782
제공,777
풀이,776
즉,772
비율,772
분만,769
차량,768
항생제,768
비용,766
개최,762
농촌,761
해결,759
직접,754
호흡기,753
여름,752
농축,752
김현구,750
캐나다,748
확보,743
우수,743
센터,742
임,741
변수,739
유입,739
출현,739
사회,738
동물복지,738
조정,738
철,737
연구원,728
고려,724
등심,724
폭염,722
회복,722
동시,720
본격,719
중단,715
중심,715
동기,714
실제,712
일부,711
도축장,710
육성,708
우선,707
효율,706
국민,704
외부,704
삼겹,698
전파,697
당부,695
령,695
야생,694
김,693
안심,689
자급,688
각,683
여름철,680
능력,678
독일,676
준비,675
집중,674
용,671
사례,671
파악,669
자금,668
전보,665
정보,665
감축,663
가가,662
친환경,660
검역,659
규제,659
동안,658
정액,657
바로,655
제도,655
일반,651
이기,651
시간,650
환기,650
장기,647
역할,646
다소,645
기,643
대응,642
설,639
집계,637
추산,635
관심,634
위기,634
함,634
법,633
조절,632
돈자,629
그동안,624
할인,621
선정,620
판단,614
기반,613
국제,604
고객,603
시대,600
계절,599
캠페인,598
인식,597
코,596
다음,595
자료,595
지급,594
전략,593
도움,592
기본,592
매년,591
유행,586
체계,586
비량,585
제시,584
협의,584
부담,583
미래,583
데,581
건강,580
예정,578
가정,577
원료,577
신고,577
출시,576
정산,575
전염병,574
보고,574
더위,574
촉진,574
대체,573
임신,573
해,571
필요,570
현실,570
품목,569
감,568
부족,566
호,565
어려움,565
축산물품질평가원,564
사양,562
여파,562
개체,562
매우,558
내용,555
경쟁,555
경연,554
소,554
악취,552
해당,551
구축,551
번,548
유럽연합,545
추정,544
미만,543
첫,542
동기간,542
기자,539
대화,539
수의사,538
팜스코,538
인,537
각종,534
대형,534
방지,532
주목,531
여기,528
명,527
무려,526
작업,525
방식,524
극복,522
여부,522
축사,521
충남,520
달성,520
회장,519
투자,518
곡물,516
과제,515
조합원,515
회사,514
손실,514
설사,514
가공품,512
발효,512
자,510
준,509
절감,509
오히려,507
유전자,507
외식,506
국산,506
청정,505
국,504
위험,502
다만,500
사항,500
성률,498
지난주,497
개정,496
현상,495
가치,494
급량,492
구입,490
작용,489
년비,489
기관,489
수도,487
뿐,486
연말,485
자리,485
설정,484
계열,482
원산지,482
반드시,479
금년,477
기회,477
치,476
의견,475
비롯,474
이력,474
기여,473
단체,473
라며,472
세로,471
브라질,469
유도,469
연간,467
제기,467
앞다리,466
증상,466
알,464
구조,464
재입,463
견줘서,462
활성화,462
직원,462
허가,462
도태,462
초,461
새해,461
식육,460
조건,459
방문,459
도매,457
눈,452
급식,452
상대,452
입산,452
첫째,451
의미,448
둘째,448
분야,446
발병,446
안전,446
급등,445
맛,441
차별,441
선물,441
내부,440
환절기,439
종,439
다산,438
분,437
선택,436
출국,434
폭락,434
감안,433
몇,432
휴가,428
가공업,427
중순,426
해외,426
뒤,425
월,424
데이,424
부경,424
여러,423
불황,422
표시,422
추세,421
보고서,421
고기,420
영양,419
팀,419
약품,418
참석,416
인력,415
주의,415
당분간,414
전문,413
검,412
생산자,412
현황,410
에너지,410
로부터,408
섭취량,408
지자체,407
생존,407
성과,407
침체,407
가을,406
본부,405
분기,405
인상,404
적정,404
외,404
오염,403
선,401
추이,397
홍콩,396
신제품,396
적,396
폐렴,396
그것,395
구간,394
무역,393
하루,393
조기,393
구성,391
환경부,391
요청,391
경락,391
반영,390
게,390
마지막,388
육질,388
사이,388
진단,387
종합,386
뒷받침,385
단위,385
관측,385
출입,385
이제,384
해도,383
목심,382
자체,381
점차,381
김장,380
음성,380
상,379
소개,379
병원체,379
자수,378
오환,377
제주도,377
요소,376
준수,375
육종,375
먼저,375
방향,375
제거,374
조성,373
탕,373
군,372
회의,372
덴마크,371
무부,371
세트,370
황,370
하절,369
연휴,369
특수,368
점유,367
사의,367
검정,367
산정,366
순,366
컨설팅,366
사고,366
공장,366
소득,365
수의,364
기능,364
겨울,363
마트,363
전반,362
변경,362
진입,361
형태,361
피,360
의무,360
위치,359
사진,359
나,358
초기,358
습도,358
힘,357
불구,356
바람,356
사태,355
칼럼,355
형,355
인기,354
주변,354
관,354
요리,353
마케팅,352
