Noun,Freq
농가,12052
증가,11808
가격,10271
농장,9816
금지,9074
사료,8315
수입,8214
생산,7834
출하,7313
발생,7167
대비,6905
감소,6634
소비,6450
하락,5263
시장,5131
산업,4787
구제역,4467
수출,4322
질병,4173
정부,3663
방역,3542
상승,3541
지속,3390
백신,3243
소비자,3046
사업,3030
영향,2912
축산,2894
축산물,2816
문제,2612
물량,2539
안정,2482
유지,2390
수입량,2372
피해,2344
시설,2326
지원,2307
공급,2280
실시,2270
가축,2207
수요,2190
개선,2164
유통,2122
사용,2074
접종,2044
판매,2031
확대,1962
계획,1937
진행,1924
규모,1913
사육,1910
시작,1846
효과,1769
열병,1769
바이러스,1731
추진,1712
향상,1706
관세,1700
노력,1643
조사,1617
대책,1598
정책,1595
우려,1585
변화,1512
강화,1483
감염,1438
방법,1418
소독,1398
경영,1394
생산량,1393
지적,1371
생산비,1331
강세,1327
확인,1327
검사,1319
운영,1318
출하물량,1305
개량,1280
차단,1279
성장,1277
제외,1276
처분,1242
개발,1236
적용,1230
온도,1221
제한,1220
보합,1216
확산,1207
번식,1195
예방,1157
방안,1155
행사,1144
거래,1134
마련,1122
처리,1104
급여,1102
시세,1070
추가,1070
요구,1067
아프리카,1063
약세,1040
도입,1036
항체,1019
경제,1018
급증,1009
섭취,1004
설치,999
면역,984
저하,977
홍보,971
이용,961
재고,929
시행,929
조치,925
수급,910
예측,903
상승세,898
계속,896
판정,894
활용,888
코로나,876
차지,875
발전,869
활동,863
점검,850
평가,848
농림축산식품부,842
참여,830
기대,824
결정,813
추석,808
전환,798
구매,794
위축,791
연속,782
제공,777
항생제,768
비용,766
개최,762
해결,759
여름,752
확보,743
유입,739
출현,739
조정,738
고려,724
폭염,722
회복,722
본격,719
중단,715
육성,708
효율,706
전파,697
당부,695
자급,688
여름철,680
준비,675
집중,674
파악,669
감축,663
검역,659
규제,659
제도,655
대응,642
위기,634
조절,632
할인,621
선정,620
고객,603
계절,599
지급,594
전략,593
도움,592
유행,586
체계,586
제시,584
협의,584
부담,583
예정,578
원료,577
신고,577
전염병,574
더위,574
촉진,574
필요,570
부족,566
어려움,565
축산물품질평가원,564
여파,562
구축,551
방지,532
작업,525
극복,522
여부,522
축사,521
투자,518
곡물,516
손실,514
절감,509
외식,506
위험,502
사항,500
개정,496
현상,495
급량,492
작용,489
설정,484
원산지,482
증상,466
활성화,462
허가,462
도태,462
새해,461
발병,446
안전,446
급등,445
다산,438
분,437
선택,436
출국,434
폭락,434
불황,422
추세,421
약품,418
주의,415
생산자,412
현황,410
지자체,407
생존,407
성과,407
침체,407
가을,406
인상,404
오염,403
무역,393
요청,391
경락,391
반영,390
진단,387
관측,385
출입,385
김장,380
음성,380
제거,374
조성,373
연휴,369
점유,367
산정,366
사고,366
공장,366
소득,365
겨울,363
마트,363
변경,362
진입,361
초기,358
습도,358
사태,355
논의,352
날씨,349
발견,349
악화,348
증대,345
지연,341
선호,336
보급,336
위협,334
변동,333
체결,332
첨가,332
부과,331
검토,330
지정,325
걱정,319
고민,318
농진청,317
안정화,317
치료,317
불안,315
물가,313
완화,311
사병,310
할당,310
폐업,305
과태료,305
폐사,304
심화,304
문제점,297
매출,296
안전성,294
해소,293
성공,292
위반,290
오른,276
반대,272
통제,271
부진,270
수립,270
환율,269
원가,268
급감,264
고온,264
세균,262
입국,261
유발,259
재개,257
기온,256
운동,256
무더위,254
농촌진흥청,254
농식품부,253
사료량,253
이익,252
동향,251
단가,251
박멸,251
재발,247
농림수산식품부,246
반입,244
대두,238
금액,237
투입,231
격리,225
겨울철,224
긴급,223
항원,223
해제,222
배합사료,219
농림축산검역본부,216
단속,216
상향,214
불량,210
취약,207
반응,207
예방접종,206
소모,206
이슈,205
반등,205
매몰,204
명절,199
증후군,197
축소,186
급락,185
광고,184
대처,179
대폭,173
최악,173
수입물량,172
농산물,172
수출입,169
수출물량,169
억제,166
판매량,158
하향,156
호재,150
질환,148
소요,148
식품의약품안전처,146
기후,144
폐쇄,144
검증,143
재난,141
주위,137
호로,137
출발,136
용도,136
편차,136
호소,136
전용,136
과잉,136
위로,136
명령,135
채,135
세대,135
횟수,135
증체량,135
길이,135
메르스,135
등락,134
경향,129
돌파,128
화재,127
종식,124
달러,123
저조,123
타격,121
인플루엔자,121
살모넬라,120
감사,119
밑,117
전염,115
공급물량,112
매진,111
논란,109
대장균,107
재해,103
축제,100
봄철,97
폭등,91
폭발,87
재정,81
저가,78
심각,77
감염증,75
농수산,74
저해,74
환산,74
기생충,72
부작용,69
수출량,69
폐기,69
약화,55
태풍,54
페스티벌,52
증감,52
제재,51
한여름,49
폭증,47
원화,47
극성,47
파급,46
난관,42
동조,37
