Date,Noun_freq
2020.12.31,"[('시세', 4), ('출하', 4), ('코로나', 3), ('수입', 3), ('증가', 3), ('날씨', 2), ('감소', 2), ('시장', 2), ('안정', 2), ('소비', 2), ('호재', 2), ('효과', 2), ('대비', 2), ('수입량', 2), ('수요', 1), ('무더위', 1), ('축산물품질평가원', 1), ('출하물량', 1), ('상승', 1), ('작용', 1), ('영향', 1), ('재난', 1), ('지급', 1), ('여름', 1), ('폭염', 1), ('여름철', 1), ('하락', 1), ('유지', 1), ('부담', 1), ('발생', 1), ('급감', 1), ('금지', 1)]"
2020.12.31,"[('섭취', 1), ('홍보', 1), ('결정', 1), ('시작', 1), ('지원', 1), ('금지', 1)]"
2020.12.29,"[('지원', 10), ('가축', 9), ('사업', 9), ('농가', 7), ('개선', 7), ('예측', 5), ('가격', 5), ('시장', 5), ('발생', 4), ('수입', 4), ('정부', 4), ('우려', 4), ('폐업', 4), ('해결', 4), ('코로나', 3), ('금지', 3), ('처리', 3), ('축산', 3), ('시설', 3), ('증가', 3), ('감소', 3), ('사료', 3), ('추진', 3), ('농장', 3), ('생산', 3), ('산업', 2), ('문제', 2), ('수입량', 2), ('규모', 2), ('곡물', 2), ('상승', 2), ('제도', 2), ('소비', 2), ('확보', 1), ('농림축산식품부', 1), ('농식품부', 1), ('아프리카', 1), ('열병', 1), ('검사', 1), ('유입', 1), ('방지', 1), ('예방', 1), ('조치', 1), ('검역', 1), ('중단', 1), ('결정', 1), ('계획', 1), ('대응', 1), ('준비', 1), ('파악', 1), ('회복', 1), ('물량', 1), ('수요', 1), ('인상', 1), ('질병', 1), ('소독', 1), ('사육', 1), ('도움', 1), ('규제', 1), ('작용', 1), ('사태', 1), ('심각', 1), ('지자체', 1), ('저하', 1), ('시세', 1), ('급량', 1), ('진행', 1), ('선정', 1), ('노력', 1), ('급감', 1), ('본격', 1), ('위기', 1), ('출하', 1), ('추석', 1), ('하락', 1), ('강세', 1), ('다산', 1)]"
2020.12.29,"[('기온', 6), ('겨울', 3), ('당부', 3), ('화재', 3), ('겨울철', 3), ('시작', 2), ('농가', 2), ('대비', 2), ('지적', 2), ('주의', 2), ('요구', 1), ('관측', 1), ('변동', 1), ('농촌진흥청', 1), ('축산', 1), ('재해', 1), ('날씨', 1), ('지속', 1), ('면역', 1), ('공급', 1), ('설치', 1), ('농진청', 1), ('축사', 1), ('집중', 1), ('발생', 1), ('점검', 1), ('예방', 1), ('바이러스', 1), ('생존', 1), ('유행', 1), ('사병', 1), ('구제역', 1), ('위험', 1), ('차단', 1), ('방역', 1), ('소독', 1), ('전염병', 1), ('금지', 1)]"
2020.12.28,"[('소비', 25), ('코로나', 21), ('시장', 20), ('농가', 19), ('피해', 14), ('산업', 12), ('가격', 11), ('발생', 11), ('수입', 10), ('시작', 9), ('대비', 9), ('수출', 9), ('재고', 9), ('증가', 9), ('정부', 8), ('감소', 7), ('안정', 6), ('확대', 6), ('규제', 6), ('사육', 6), ('홍보', 6), ('재난', 6), ('시세', 5), ('생산', 5), ('불안', 5), ('곡물', 5), ('지속', 5), ('감염', 5), ('확산', 5), ('정책', 5), ('물량', 5), ('방역', 5), ('처분', 5), ('호재', 4), ('사료', 4), ('우려', 4), ('감축', 4), ('변화', 4), ('노력', 4), ('외식', 4), ('소비자', 4), ('제도', 4), ('경영', 4), ('수입량', 4), ('하락', 4), ('지급', 4), ('선정', 4), ('개선', 3), ('예측', 3), ('바이러스', 3), ('수요', 3), ('상승', 3), ('본격', 3), ('사태', 3), ('해결', 3), ('강화', 3), ('가축', 3), ('농장', 3), ('약세', 3), ('영향', 3), ('계획', 3), ('결정', 3), ('조사', 3), ('집중', 3), ('태풍', 3), ('강세', 3), ('통제', 2), ('대두', 2), ('상승세', 2), ('악화', 2), ('급감', 2), ('여파', 2), ('도입', 2), ('차지', 2), ('기대', 2), ('추진', 2), ('위축', 2), ('검증', 2), ('조절', 2), ('시설', 2), ('농림축산식품부', 2), ('축산', 2), ('요구', 2), ('계속', 2), ('질병', 2), ('급증', 2), ('성과', 2), ('자급', 2), ('재발', 2), ('아프리카', 2), ('열병', 2), ('구매', 2), ('이용', 2), ('현황', 2), ('공급', 2), ('폐사', 2), ('체결', 2), ('이슈', 1), ('기후', 1), ('유지', 1), ('인상', 1), ('차단', 1), ('방법', 1), ('부진', 1), ('위협', 1), ('해소', 1), ('생산량', 1), ('문제', 1), ('광고', 1), ('필요', 1), ('체계', 1), ('지정', 1), ('구제역', 1), ('항체', 1), ('개발', 1), ('사업', 1), ('추가', 1), ('적용', 1), ('지연', 1), ('반영', 1), ('밑', 1), ('출현', 1), ('활용', 1), ('반대', 1), ('점유', 1), ('성공', 1), ('소득', 1), ('준비', 1), ('대책', 1), ('오른', 1), ('농촌진흥청', 1), ('동향', 1), ('극복', 1), ('제시', 1), ('발전', 1), ('향상', 1), ('매진', 1), ('판매', 1), ('수출입', 1), ('수립', 1), ('유통', 1), ('전파', 1), ('명령', 1), ('안정화', 1), ('등락', 1), ('행사', 1), ('여름', 1), ('중단', 1), ('실시', 1), ('폐업', 1), ('생산자', 1), ('지원', 1), ('지자체', 1), ('저하', 1), ('채', 1), ('효과', 1), ('진입', 1), ('심화', 1), ('부담', 1), ('금지', 1)]"
2020.12.24,"[('증가', 14), ('코로나', 12), ('생산', 11), ('수출', 11), ('수입', 9), ('시장', 8), ('감소', 8), ('대비', 8), ('시작', 7), ('수입물량', 6), ('출국', 5), ('지속', 4), ('여파', 4), ('피해', 4), ('생산량', 4), ('물량', 4), ('소비', 4), ('본격', 4), ('감염', 4), ('공급', 4), ('하락', 4), ('계속', 3), ('불안', 2), ('차지', 2), ('수요', 2), ('수출물량', 2), ('무역', 2), ('호재', 2), ('급증', 2), ('상승', 2), ('확산', 2), ('우려', 2), ('노력', 2), ('수입량', 2), ('변화', 2), ('제외', 1), ('연속', 1), ('추가', 1), ('위기', 1), ('출발', 1), ('타격', 1), ('약세', 1), ('전환', 1), ('급등', 1), ('영향', 1), ('사태', 1), ('유발', 1), ('체계', 1), ('폭등', 1), ('발생', 1), ('상승세', 1), ('외식', 1), ('위축', 1), ('전파', 1), ('설치', 1), ('유입', 1), ('확인', 1), ('중단', 1), ('효과', 1), ('결정', 1), ('정부', 1), ('회복', 1), ('입국', 1), ('금지', 1)]"
2020.12.24,"[('유통', 5), ('시장', 5), ('변화', 5), ('판정', 4), ('가격', 4), ('물량', 4), ('차지', 3), ('출현', 3), ('출하', 3), ('작업', 3), ('점유', 2), ('출하물량', 2), ('변동', 2), ('시설', 2), ('결정', 2), ('강세', 2), ('반영', 2), ('감소', 2), ('산정', 2), ('심화', 1), ('축산물품질평가원', 1), ('증가', 1), ('규모', 1), ('소비', 1), ('지속', 1), ('유지', 1), ('상승', 1), ('반대', 1), ('하락', 1), ('농가', 1), ('문제점', 1), ('대폭', 1), ('폭락', 1), ('발생', 1), ('축소', 1), ('대책', 1), ('수요', 1), ('공급', 1), ('금지', 1)]"
2020.12.24,"[('코로나', 3), ('확산', 2), ('활용', 2), ('홍보', 2), ('강화', 1), ('진행', 1), ('활동', 1), ('금액', 1), ('운동', 1), ('협의', 1), ('운영', 1), ('예정', 1), ('이용', 1), ('불황', 1), ('어려움', 1), ('구매', 1), ('공급', 1), ('분', 1), ('노력', 1), ('금지', 1)]"
2020.12.24,"[('소비자', 7), ('가격', 6), ('수입', 5), ('평가', 5), ('효과', 2), ('조사', 2), ('시장', 1), ('영향', 1), ('증가', 1), ('상승', 1), ('축산물', 1), ('반대', 1), ('금지', 1)]"
2020.12.24,"[('농가', 7), ('코로나', 4), ('면역', 3), ('수입', 3), ('소비', 2), ('발생', 2), ('예방', 2), ('효과', 2), ('시장', 2), ('농장', 2), ('사료', 2), ('강화', 2), ('재고', 2), ('부진', 1), ('걱정', 1), ('새해', 1), ('위기', 1), ('섭취', 1), ('질병', 1), ('홍보', 1), ('재난', 1), ('감소', 1), ('안정', 1), ('날씨', 1), ('태풍', 1), ('피해', 1), ('폭염', 1), ('성장', 1), ('유지', 1), ('점유', 1), ('중단', 1), ('가을', 1), ('불황', 1), ('다산', 1), ('공급', 1), ('노력', 1), ('상승', 1), ('도움', 1), ('감사', 1), ('재발', 1), ('불안', 1), ('방역', 1), ('조치', 1), ('부담', 1), ('규제', 1), ('증가', 1), ('폐업', 1), ('지원', 1), ('생산비', 1), ('차지', 1), ('곡물', 1), ('변화', 1), ('처리', 1), ('금지', 1)]"
