Date,Nouns
2019.12.31,"['축산물품질평가원', '축산물', '거래', '증가', '가격', '제외', '상승', '출현', '상승', '출하', '대비', '산정', '출하', '가격', '가격', '가격', '시세', '상승', '소비', '물량', '감소', '소비', '약세', '금지']"
2019.12.30,"['극복', '소비', '소비', '침체', '김장', '불황', '경락', '가격', '밑', '침체', '소비', '진행', '소비', '촉진', '할인', '행사', '소비', '시장', '시작', '김장', '수요', '수요', '파악', '유통', '수요', '판매', '계속', '시작', '수요', '소비', '시장', '침체', '우려', '가격', '하락', '금지']"
2019.12.30,"['새해', '상승', '상승', '수급', '조절', '협의', '협의', '개최', '수급', '가격', '현황', '논의', '예측', '예측', '가격', '경제', '생산량', '수입', '감소', '가격', '상승', '하락', '예측', '가격', '설정', '하락', '우려', '가격', '약세', '지속', '농가', '농가', '우려', '수입량', '가격', '상승', '호재', '수입', '증가', '물량', '원료', '영향', '가격', '가격', '작업', '물량', '가격', '예측', '농가', '생산', '농가', '생산', '금지']"
2019.12.30,"['출하물량', '수급', '진행', '출하', '출하', '감소', '출하', '출하물량', '출하물량', '예측', '출하', '출하', '예측', '출하', '물량', '수입', '감소', '수급', '현황', '급량', '생산', '수입', '공급', '감소', '금지']"
2019.12.30,"['재고', '증가', '산업', '재고', '증가', '재고', '재고', '수입', '증가', '수입량', '대비', '재고', '수입', '증가', '수입', '관세', '수입', '증가', '시장', '재고', '대비', '대비', '감소', '출하', '증가', '열병', '백신', '접종', '출하', '시작', '시장', '불안', '금지']"
2019.12.27,"['축산물품질평가원', '축산물', '거래', '감소', '가격', '제외', '하락', '출현', '상승', '출하', '대비', '산정', '출하', '가격', '가격', '가격', '시세', '반등', '시세', '약세', '심화', '금지']"
2019.12.27,"['지속', '증가', '수입', '증가', '약세', '수급', '현황', '지속', '증가', '증가', '수입', '생산량', '증가', '수입량', '증가', '소비', '증가', '소비', '증가', '수입', '소비', '증가', '가격', '하락', '제공', '수입', '가격', '안정', '소비', '증가', '방안', '금지']"
2019.12.27,"['정부', '가격', '안정', '사육', '재개', '지원', '생산', '회복', '생산', '재개', '계획', '생산', '농장', '생산', '안정', '공급', '농가', '방역', '피해', '정부', '농장', '생산', '회복', '여부', '생산', '공급', '안정화', '결정', '지적', '지원', '예정', '농장', '재정', '지원', '방안', '추진', '명절', '연휴', '대비', '시세', '대비', '하락', '가격', '명절', '연휴', '정부', '시장', '가격', '변동', '추가', '공급', '금지']"
2019.12.27,"['축산물', '유통', '협의', '농림축산식품부', '축산', '유통', '운영', '협의', '진행', '추진', '사업', '계획', '논의', '사업', '강화', '개선', '마련', '제도', '개선', '축산물', '유통', '확대', '가격', '제도', '마련', '지원', '축산물', '소비', '활성화', '대책', '협의', '확대', '추진', '축산물', '유통', '산업', '규모', '유통', '산업', '유통', '정책', '강화', '산업', '지속', '성장', '발전', '농림축산식품부', '축산', '유통', '설치', '협의', '유통', '수출', '가격', '폭락', '소비', '감소', '축산물', '시장', '침체', '수입', '시장', '우려', '축산물', '소비', '활성화', '정부', '축산물', '유통', '설치', '수입', '대책', '마련', '금지']"
2019.12.27,"['소비자', '선정', '차지', '소비자', '소비자', '조사', '기대', '선정', '규모', '소비자', '조사', '선정', '소비자', '조사', '실시', '소비자', '참여', '선정', '차지', '소비자', '발전', '시장', '시장', '반영', '계획', '금지']"
2019.12.27,"['축산물품질평가원', '축산물', '거래', '증가', '가격', '제외', '상승', '출현', '상승', '출하', '대비', '산정', '출하', '가격', '가격', '가격', '시세', '출하물량', '지속', '약세', '지속', '새해', '소비', '감소', '약세', '지속', '금지']"
