Date,TF_IDF
2019.12.31,"[0.37802971375666566, 0.10288406018195595, 0.21955376026292886, 0.08718156790004687, 0.1640382655246645, 0.32937480132496777, 0.4319901271992095, 0.25318841385251467, 0.21995816173391283, 0.23238510075925864, 0.21194413306452536, 0.07254143301826062, 0.15794753016321117, 0.27549514756228816, 0.21721676383973765, 0.322478909261335]"
2019.12.30,"[0.0996451154196287, 0.4004286616075828, 0.1638502159654334, 0.11631528286384109, 0.14961584192931401, 0.36427187297624536, 0.20893862110624184, 0.16703458233305257, 0.3773829092107, 0.1878765669526361, 0.14082137873882689, 0.09696147772168885, 0.09988031024690879, 0.0920811830632434, 0.14536692505270124, 0.49388034315103624, 0.131548994617225, 0.10364487470421285, 0.06368531929001178, 0.15620888423592535, 0.12554026909114058]"
2019.12.30,"[0.4118539101829083, 0.049817603619154736, 0.1588582969184689, 0.2788992177037327, 0.11252344450780588, 0.035125366841840235, 0.17811639088097495, 0.11698872057827643, 0.1116330459287246, 0.11289980112355781, 0.15323109712790212, 0.16910187145513897, 0.155154079894733, 0.10161782933198318, 0.10976323484862716, 0.14302589607852684, 0.25179923554791833, 0.1110518485059439, 0.09732403044291887, 0.06826835546968918, 0.48659191609503216, 0.1391656626544562, 0.13449275955241782, 0.13291973116076947, 0.06050529451569726, 0.144237523526229, 0.27724277900332495, 0.1956739545875401]"
2019.12.30,"[0.23220898759157718, 0.12341127639660414, 0.49025752609236956, 0.1314076029394202, 0.07894322339958518, 0.39122747325695406, 0.17254434469173138, 0.3780156945807952, 0.2241058506600123, 0.12668372269949127, 0.21794874400498299, 0.47696541325627]"
2019.12.30,"[0.05466605702146594, 0.13896824892843654, 0.23126346919717938, 0.11541519626150946, 0.094678681784033, 0.14193129800336823, 0.24371973927830332, 0.10679600404757005, 0.12372205649425923, 0.11093351102533311, 0.17949131440665608, 0.0788798360212412, 0.110114762125905, 0.8468176621843955, 0.12531870937479248]"
2019.12.27,"[0.3554171656125829, 0.09672985938910317, 0.2064207450699602, 0.08196664079332373, 0.3096726369675841, 0.13538327896326197, 0.4136019130345038, 0.2184845551469401, 0.19926630182964417, 0.1484996058332375, 0.2590158945802768, 0.20422354042029603, 0.3031892354717845, 0.11357734685673108, 0.3419986118853399, 0.29937241696331035]"
2019.12.27,"[0.152068238109494, 0.40739565809975087, 0.1869609268762651, 0.5836180335879882, 0.09719005549934813, 0.18237475944680043, 0.2091858219888925, 0.3690316559151109, 0.16170666494020888, 0.20106256066115044, 0.23965477778215502, 0.17408549253868733, 0.1344302075103336, 0.20075669291237652]"
2019.12.27,"[0.13512109794543314, 0.08309801229252146, 0.10482769734401212, 0.06365235676379753, 0.05757251775786664, 0.04160922715077231, 0.30004914601063615, 0.2407511447627963, 0.1031231030693028, 0.15926496737383358, 0.11550016182215492, 0.08471837531741963, 0.1882846232827854, 0.3646029447071553, 0.0882224986007315, 0.15232375035819284, 0.09203363194778351, 0.15961216759533886, 0.13473995333820843, 0.31183915751181224, 0.12648559401372933, 0.3313678689687163, 0.2156373429438863, 0.21793678437323535, 0.28612123071476864, 0.09374646155461727, 0.10508600506992406, 0.09339846076472144, 0.09203363194778351, 0.2506720293384482]"
2019.12.27,"[0.061932907747919964, 0.03371115431461594, 0.12444017579049484, 0.3622733674652173, 0.08752538869204474, 0.06026493350477299, 0.5587118056790574, 0.05723166049794951, 0.10232127486320948, 0.10369019755680203, 0.07514785396999282, 0.04094342505639302, 0.3752157240257326, 0.14592951107006813, 0.058246144416391754, 0.04994578554607615, 0.06557199451463606, 0.1284278697174704, 0.13604141899662126, 0.12384201972451962, 0.06431624063223147, 0.14575888876848672, 0.1342138321313164, 0.20797366013718938, 0.0810368034370292, 0.12265561930513236, 0.17737101063451122, 0.0762962168089393, 0.05715089281166861, 0.07441915345781001, 0.07413324928042661, 0.18890294109130182, 0.1075941419743101, 0.10183861263173358, 0.12149228082084847, 0.19541681355966573]"
2019.12.27,"[0.13676596948298905, 0.09101462477113288, 0.10049967369488359, 0.12662699533804034, 0.11772988909640927, 0.15433612466397514, 0.5915269343571312, 0.621612269670905, 0.08421303686172656, 0.3018196575980676, 0.23923883547960004, 0.13216948050892421]"
2019.12.27,"[0.33528798551689026, 0.09125152871557378, 0.19473003129748734, 0.07732443036005998, 0.2921342148447111, 0.25543159570262614, 0.11228090034672507, 0.19508870933154676, 0.412221206229652, 0.187980782545233, 0.06433957453105672, 0.1400892767912944, 0.24434643543733678, 0.19265726613015363, 0.28601800314436404, 0.2841976720736709, 0.3324849181115876, 0.18743384377801214]"
2019.12.26,"[0.38780061938738275, 0.22522854982134707, 0.08943494334036381, 0.3378881270868523, 0.22564340382679096, 0.23839154101216684, 0.21742223716004266, 0.07441640599140276, 0.16202998811735753, 0.282615849958408, 0.2228311492270567, 0.33081399741876294, 0.3717774749300677, 0.2563723579932086, 0.2167896371210993]"
