Date,Temp,Price
2011-01-03,-4.5,1738
2011-01-04,-3.9,1738
2011-01-05,-4,1738
2011-01-06,-7.6,1538
2011-01-07,-7,1538
2011-01-10,-8.2,1543
2011-01-11,-5.4,1543
2011-01-12,-8.2,1543
2011-01-13,-5.9,1677
2011-01-14,-3.8,1677
2011-01-17,-9.7,1677
2011-01-18,-6.7,1743
2011-01-19,-6.6,1743
2011-01-20,-8.2,1793
2011-01-21,-6.8,1793
2011-01-24,-8.8,1665
2011-01-25,-8.4,1722
2011-01-26,-8.5,1722
2011-01-27,-8.9,1665
2011-01-28,-7.9,1665
2011-01-31,-6.2,1942
2011-02-01,-0.2,1912
2011-02-07,0.3,2297
2011-02-08,2.9,1997
2011-02-09,-1.2,2047
2011-02-10,-2.1,1845
2011-02-11,-2.9,1795
2011-02-14,-3.4,1922
2011-02-15,-1.8,1938
2011-02-16,-0.6,1938
2011-02-17,0.9,2092
2011-02-18,1.6,2077
2011-02-21,6.2,2018
2011-02-22,6.2,2018
2011-02-23,5.6,1835
2011-02-24,6.1,1682
2011-02-25,2,1682
2011-02-28,2.8,1760
2011-03-02,-2.1,1760
2011-03-03,-2.1,1697
2011-03-04,0.1,1780
2011-03-07,1.6,1762
2011-03-08,1.6,1762
2011-03-09,0.2,1762
2011-03-10,1.4,1762
2011-03-11,4.6,1762
2011-03-14,6.7,1793
2011-03-15,1.5,1793
2011-03-16,-0.4,1793
2011-03-17,0.8,1793
2011-03-18,5.7,1793
2011-03-21,8,1783
2011-03-22,1.8,1783
2011-03-23,2.2,1783
2011-03-24,2.9,1783
2011-03-25,2.2,1783
2011-03-28,5.2,1737
2011-03-29,4.8,1737
2011-03-30,7.3,1737
2011-03-31,9.2,1737
2011-04-01,9.1,1737
2011-04-04,10.1,1853
2011-04-05,10.7,1867
2011-04-06,10.6,1867
2011-04-07,9.6,1917
2011-04-08,11.4,1868
2011-04-11,10.4,1867
2011-04-12,10.2,1867
2011-04-13,11.3,1867
2011-04-14,12.4,1917
2011-04-15,12.2,1917
2011-04-18,6.7,2027
2011-04-19,10.8,2027
2011-04-20,11.2,2027
2011-04-21,13.5,1743
2011-04-22,8.9,1743
2011-04-25,11.3,1743
2011-04-26,10.5,1717
2011-04-27,11.4,1717
2011-04-28,10.4,1800
2011-04-29,13.2,1867
2011-05-02,14.2,1818
2011-05-03,15.3,1817
2011-05-04,15.9,1817
2011-05-06,15.4,1753
2011-05-09,17.6,1985
2011-05-11,17.2,1985
2011-05-12,15.7,2085
2011-05-13,14.6,2085
2011-05-16,16.4,2125
2011-05-17,17.5,2125
2011-05-18,20.5,2188
2011-05-19,20.7,2105
2011-05-20,17.5,2055
2011-05-23,19.5,2075
2011-05-24,21.5,1925
2011-05-25,22.7,1925
2011-05-26,20.7,2075
2011-05-27,20.1,2142
2011-05-30,22.7,2287
2011-05-31,18.7,2275
2011-06-01,18,2242
2011-06-02,19,2308
2011-06-03,19,2375
2011-06-07,20.9,2317
2011-06-08,22,2317
2011-06-09,19.4,2317
2011-06-10,21.4,2333
2011-06-13,21,2338
2011-06-14,22.8,2333
2011-06-15,25.2,2408
2011-06-16,26.5,2333
2011-06-17,24.9,2338
2011-06-20,26.6,2355
2011-06-21,24.1,2355
2011-06-22,22.7,2350
2011-06-23,22,2355
2011-06-24,19.7,2355
2011-06-27,19.2,2388
2011-06-28,24.1,2388
2011-06-29,21,2388
2011-06-30,23.8,2235
2011-07-01,25.1,2167
2011-07-04,22.5,2167
2011-07-05,24.3,2167
2011-07-06,25.6,2167
2011-07-07,22.9,2217
2011-07-08,22.4,2217
2011-07-11,21.2,2217
2011-07-12,22.8,2217
2011-07-13,24.3,2320
2011-07-14,23.6,2320
2011-07-15,23.4,2233
2011-07-18,28.7,2320
2011-07-19,28.5,2320
2011-07-20,27.6,2320
2011-07-21,27.1,2320
2011-07-22,24.1,2285
2011-07-25,24.9,2285
2011-07-26,24.8,2252
2011-07-27,24,2252
2011-07-28,24.7,2047
2011-07-29,26.2,2047
2011-08-01,25.6,2115
2011-08-02,26.1,2095
2011-08-03,25.4,2095
2011-08-04,25.4,2095
2011-08-05,28.9,2095
2011-08-08,24.7,2118
2011-08-09,26,2118
2011-08-10,25.8,2118
2011-08-11,26.6,2068
2011-08-12,25.3,2068
2011-08-16,25,2057
2011-08-17,23.7,2057
2011-08-18,25.2,2157
2011-08-19,24.4,2112
2011-08-22,23.5,2107
2011-08-23,24.3,2023
2011-08-24,24.8,2045
2011-08-25,25.7,2167
2011-08-26,26.4,2167
2011-08-29,26.8,2077
2011-08-30,27.1,2093
2011-08-31,27.9,1970
2011-09-01,27,1987
2011-09-02,26.9,1910
2011-09-05,23.8,1860
2011-09-06,23.4,1860
2011-09-07,22.6,1915
2011-09-08,22.3,1915
2011-09-09,19.9,1937
2011-09-14,24.4,1953
2011-09-15,25.7,1915
2011-09-16,25.6,1915
2011-09-19,16.8,1915
2011-09-20,17.7,1930
2011-09-21,18.1,1930
2011-09-22,18.1,1830
2011-09-23,19.5,1830
2011-09-26,21.2,1813
2011-09-27,21.8,1808
2011-09-28,19.8,1808
2011-09-29,16.9,1817
